Battery Voltage (V),Power (W),Humidity (%rel),Epoch Time,Significant Wave Height (m),Peak Period (s),Mean Period (s),Peak Direction (deg),Peak Directional Spread (deg),Mean Direction (deg),Mean Directional Spread (deg),Latitude (deg),Longitude (deg),f,df,a1,b1,a2,b2,varianceDensity,direction,directionalSpread,Wind Speed (m/s),Wind Direction (deg),Surface Temperature (°C),Partition0 Start Frequency (hz),Partition0 End Frequency (hz),Partition0 Significant Wave Height (m),Partition0 Mean Period (s),Partition0 Mean Direction (deg),Partition0 Mean Directional Spread (deg),Partition1 Start Frequency (hz),Partition1 End Frequency (hz),Partition1 Significant Wave Height (m),Partition1 Mean Period (s),Partition1 Mean Direction (deg),Partition1 Mean Directional Spread (deg),Mean Barometric Pressure (hPa),Processing Source
4.1,-0.03,54.4,1772741192,-,-,-,-,-,-,-,34.3984833,-119.8493000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,-0.03,54.4,1772741179,1.08,5.68,4.8,260.602,30.741,250.589,39.548,34.39850,-119.84930,-,-,-,-,-,-,-,-,-,4.00,245.71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,-0.03,54.4,1772739379,1.04,4.64,4.78,256.913,38.626,250.681,42.803,34.39850,-119.84930,-,-,-,-,-,-,-,-,-,3.20,251.43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,-0.03,59.2,1772737593,-,-,-,-,-,-,-,34.3985167,-119.8493000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,-0.03,59.2,1772737579,1.14,5.68,5,260.097,32.862,250.582,42.849,34.39848,-119.84930,-,-,-,-,-,-,-,-,-,3.60,228.57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,-0.03,59.2,1772735779,1.12,4.86,5.18,257.08,42.095,251.181,45.05,34.39847,-119.84930,-,-,-,-,-,-,-,-,-,2.00,222.86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,-0.03,63.2,1772733992,-,-,-,-,-,-,-,34.3984833,-119.8493000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,-0.06,63.2,1772733979,1.03,6.4,5.24,257.998,32.263,250.605,45.626,34.39848,-119.84928,-,-,-,-,-,-,-,-,-,1.60,251.43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,-0.06,63.2,1772732179,1.02,5.12,5.28,261.87,41.349,250.273,46.414,34.39848,-119.84928,-,-,-,-,-,-,-,-,-,1.20,251.43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,1.24,76,1772726265,-,-,-,-,-,-,-,34.3984333,-119.8493000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,1.36,76,1772726251,0.99,4.86,5.32,264.717,45.106,251.308,50.004,34.39843,-119.84930,-,-,-,-,-,-,-,-,-,0.40,262.86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,1.36,76,1772724451,1,6.02,5.32,257.976,42.677,248.725,51.713,34.39843,-119.84930,-,-,-,-,-,-,-,-,-,0.40,251.43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.07,0.31,80,1772722664,-,-,-,-,-,-,-,34.3984333,-119.8493000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.07,0.29,80.8,1772722651,1.14,5.68,5.94,267.873,39.366,254.392,57.217,34.39842,-119.84930,-,-,-,-,-,-,-,-,-,9.60,40.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.07,0.29,80.8,1772720851,0.98,5.12,5.02,274.846,49.625,252.523,56.282,34.39842,-119.84930,-,-,-,-,-,-,-,-,-,10.00,28.57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.04,-0.33,81.6,1772719065,-,-,-,-,-,-,-,34.3984333,-119.8493000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.04,-0.4,81.6,1772719051,1,4.86,5.08,259.603,47.939,248.002,52.39,34.39842,-119.84930,-,-,-,-,-,-,-,-,-,6.00,51.43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.04,-0.4,81.6,1772717251,1.03,6.4,5.3,249.687,37.763,247.004,50.079,34.39840,-119.84930,-,-,-,-,-,-,-,-,-,1.20,245.71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.04,-0.39,80.8,1772715465,-,-,-,-,-,-,-,34.3984333,-119.8492833,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.04,-0.32,80.8,1772715451,1.04,4.86,5.1,257.937,42.127,249.93,47.188,34.39843,-119.84930,-,-,-,-,-,-,-,-,-,1.60,234.29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.04,-0.32,80.8,1772713651,1.07,5.12,5.14,256.873,39.543,244.213,43.798,34.39845,-119.84930,-,-,-,-,-,-,-,-,-,1.20,240.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.04,-0.76,80,1772711865,-,-,-,-,-,-,-,34.3984333,-119.8493000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.07,-0.37,80,1772711851,1.02,6.02,5.14,248.927,36.3,245.475,45.285,34.39845,-119.84930,-,-,-,-,-,-,-,-,-,1.60,228.57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.07,-0.37,80,1772710051,0.99,4.64,4.92,262.347,44.579,248.763,48.28,34.39845,-119.84930,-,-,-,-,-,-,-,-,-,2.00,240.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.07,-0.36,80.8,1772708266,-,-,-,-,-,-,-,34.3984333,-119.8493000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.07,-0.33,80.8,1772708251,1.09,4.86,5.14,263.01,42.656,248.629,47.81,34.39845,-119.84930,-,-,-,-,-,-,-,-,-,2.40,234.29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.07,-0.33,80.8,1772706451,1.1,5.68,4.98,250.297,38.999,246.619,48.253,34.39845,-119.84930,-,-,-,-,-,-,-,-,-,1.60,222.86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.07,-0.32,80,1772704664,-,-,-,-,-,-,-,34.3984333,-119.8493000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.07,-0.34,80,1772704651,1.22,4.64,5,262.082,40.907,248.384,46.265,34.39845,-119.84930,-,-,-,-,-,-,-,-,-,2.40,234.29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.07,-0.34,80,1772702851,1.14,4.86,4.82,256.782,43.339,249.203,47.767,34.39845,-119.84930,-,-,-,-,-,-,-,-,-,2.00,234.29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.07,-0.51,80,1772701065,-,-,-,-,-,-,-,34.3984500,-119.8493000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.07,-0.39,80,1772701051,1.09,5.12,4.78,259.255,41.376,250.42,46.895,34.39845,-119.84930,-,-,-,-,-,-,-,-,-,2.80,222.86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.07,-0.39,80,1772699251,1.31,5.38,4.92,255.833,33.336,252.083,43.021,34.39845,-119.84930,-,-,-,-,-,-,-,-,-,2.40,240.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.07,-0.32,79.2,1772697465,-,-,-,-,-,-,-,34.3984667,-119.8493000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.07,-0.33,79.2,1772697451,1.23,5.38,4.96,263.652,36.625,254.972,43.444,34.39847,-119.84930,-,-,-,-,-,-,-,-,-,2.80,245.71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.07,-0.33,79.2,1772695651,1.29,5.12,4.94,262.25,35.141,254.277,42.486,34.39847,-119.84930,-,-,-,-,-,-,-,-,-,2.80,240.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.07,-0.54,79.2,1772693866,-,-,-,-,-,-,-,34.3984667,-119.8492833,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.07,-0.37,79.2,1772693851,1.22,5.38,4.82,260.91,36.958,253.588,44.974,34.39845,-119.84928,-,-,-,-,-,-,-,-,-,2.00,234.29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.07,-0.37,79.2,1772692051,1.24,5.12,4.84,267.44,33.24,257.54,43.877,34.39845,-119.84928,-,-,-,-,-,-,-,-,-,2.40,240.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.07,-0.35,78.4,1772690265,-,-,-,-,-,-,-,34.3984667,-119.8493000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.07,-0.31,78.4,1772690251,1.13,5.12,4.74,259.146,36.753,253.629,45.355,34.39848,-119.84930,-,-,-,-,-,-,-,-,-,2.80,240.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.07,-0.31,78.4,1772688451,1.19,4.86,4.76,259.104,36.564,252.112,43.42,34.39848,-119.84930,-,-,-,-,-,-,-,-,-,2.40,240.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.07,-0.4,77.6,1772686665,-,-,-,-,-,-,-,34.3984667,-119.8493000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.07,-0.34,77.6,1772686651,1.17,5.12,4.94,257.942,31.211,252.726,40.733,34.39848,-119.84930,-,-,-,-,-,-,-,-,-,2.40,240.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.07,-0.34,77.6,1772684851,1.07,5.38,4.86,255.192,31.872,250.784,40.64,34.39852,-119.84930,-,-,-,-,-,-,-,-,-,2.80,240.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.07,-0.79,75.2,1772683066,-,-,-,-,-,-,-,34.3985167,-119.8493000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.07,-0.4,75.2,1772683051,1,4.86,4.78,254.745,31.689,249.708,40.987,34.39850,-119.84928,-,-,-,-,-,-,-,-,-,2.00,234.29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.07,-0.4,75.2,1772681251,0.94,5.38,4.86,259.192,28.562,247.667,37.831,34.39848,-119.84928,-,-,-,-,-,-,-,-,-,2.00,257.14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,-0.31,72,1772679465,-,-,-,-,-,-,-,34.3984500,-119.8492833,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,-0.33,72,1772679451,0.93,5.68,4.96,261.526,28.575,250.023,38.887,34.39845,-119.84928,-,-,-,-,-,-,-,-,-,2.00,228.57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,-0.33,72,1772677651,0.99,4.86,5.04,260.569,29.102,249.64,36.168,34.39847,-119.84928,-,-,-,-,-,-,-,-,-,2.00,228.57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,-0.31,64.8,1772675865,-,-,-,-,-,-,-,34.3984667,-119.8492833,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,-0.36,64.8,1772675851,0.96,6.02,5.02,253.072,26.5,251.364,36.93,34.39847,-119.84930,-,-,-,-,-,-,-,-,-,1.20,222.86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,-0.36,64.8,1772674051,0.93,5.38,5,259.487,32.3,250.11,39.098,34.39847,-119.84930,-,-,-,-,-,-,-,-,-,1.60,222.86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.13,-0.02,58.4,1772672266,-,-,-,-,-,-,-,34.3984667,-119.8493000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,-0.06,58.4,1772672251,0.9,6.4,5.12,252.57,27.938,248.843,38.47,34.39847,-119.84930,-,-,-,-,-,-,-,-,-,2.00,245.71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,-0.06,58.4,1772670451,0.77,6.82,4.92,244.775,30.304,246.076,42.073,34.39847,-119.84930,-,-,-,-,-,-,-,-,-,2.00,240.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.16,1.06,55.2,1772668666,-,-,-,-,-,-,-,34.3984667,-119.8493000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.16,1.12,55.2,1772668651,0.73,7.3,4.88,237.501,37.804,243.964,43.604,34.39847,-119.84930,-,-,-,-,-,-,-,-,-,2.40,245.71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.16,1.12,55.2,1772666851,0.64,7.3,4.78,235.71,38.236,242.043,45.555,34.39847,-119.84930,-,-,-,-,-,-,-,-,-,2.00,177.14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,-0.03,53.6,1772665065,-,-,-,-,-,-,-,34.3984833,-119.8493000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,-0.03,53.6,1772665051,0.62,7.3,4.76,237.211,35.277,242.64,47.144,34.39847,-119.84930,-,-,-,-,-,-,-,-,-,2.40,142.86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,-0.03,53.6,1772663251,0.6,7.3,4.4,235.227,38.46,239.711,49.552,34.39847,-119.84930,-,-,-,-,-,-,-,-,-,2.00,217.14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,-0.05,54.4,1772661466,-,-,-,-,-,-,-,34.3984333,-119.8493000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,-0.03,54.4,1772661451,0.58,7.3,4.32,239.63,40.968,239.002,53.753,34.39845,-119.84930,-,-,-,-,-,-,-,-,-,3.20,120.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,-0.03,54.4,1772659651,0.63,5.38,4.28,243.065,40.958,241.347,55.668,34.39848,-119.84930,-,-,-,-,-,-,-,-,-,4.00,120.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,-0.03,60,1772657865,-,-,-,-,-,-,-,34.3985167,-119.8493000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,-0.03,60,1772657851,0.64,7.3,4.12,243.885,38.051,242.691,57.011,34.39852,-119.84930,-,-,-,-,-,-,-,-,-,4.80,114.29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,-0.03,60,1772656051,0.63,7.3,4.02,239.39,37.388,241.017,59.768,34.39852,-119.84930,-,-,-,-,-,-,-,-,-,5.20,114.29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,-0.03,61.6,1772654266,-,-,-,-,-,-,-,34.3985000,-119.8493000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,-0.03,61.6,1772654251,0.7,5.38,4.32,250.314,43.782,247.123,57.129,34.39850,-119.84930,-,-,-,-,-,-,-,-,-,4.80,108.57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,-0.03,61.6,1772652451,0.75,5.12,4.32,251.279,45.676,244.888,57.305,34.39850,-119.84930,-,-,-,-,-,-,-,-,-,4.80,108.57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.16,1.86,61.6,1772650651,0.76,5.68,4.26,245.765,43.661,245.033,58.982,34.39845,-119.84930,-,-,-,-,-,-,-,-,-,5.60,108.57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.16,1.86,61.6,1772648851,0.71,5.68,3.94,255.874,40.272,248.125,61.582,34.39845,-119.84930,-,-,-,-,-,-,-,-,-,6.00,114.29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.16,1.43,60.8,1772650665,-,-,-,-,-,-,-,34.3984667,-119.8493000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,0.81,65.6,1772647066,-,-,-,-,-,-,-,34.3984500,-119.8493000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,1.02,65.6,1772647051,0.74,4.86,4.52,265.705,44.024,250.253,50.759,34.39845,-119.84928,-,-,-,-,-,-,-,-,-,2.00,142.86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,1.02,65.6,1772645251,0.78,6.82,4.68,251.311,39.222,252.986,48.066,34.39845,-119.84928,-,-,-,-,-,-,-,-,-,2.40,217.14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.07,-0.04,72.8,1772643466,-,-,-,-,-,-,-,34.3984500,-119.8492833,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.07,0.27,72.8,1772643451,0.7,7.3,4.64,241.528,32.342,248.894,52.285,34.39847,-119.84928,-,-,-,-,-,-,-,-,-,2.00,217.14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.07,0.27,72.8,1772641651,0.69,6.82,4.66,246.01,34.621,248.773,50.24,34.39847,-119.84928,-,-,-,-,-,-,-,-,-,2.40,234.29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.07,0.42,76.8,1772639866,-,-,-,-,-,-,-,34.3984667,-119.8492833,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.07,0.26,76.8,1772639851,0.69,7.3,4.64,243.343,34.45,246.606,48.61,34.39847,-119.84928,-,-,-,-,-,-,-,-,-,1.60,125.71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.07,0.26,76.8,1772638051,0.76,4.86,4.62,255.854,41,247.016,47.876,34.39847,-119.84928,-,-,-,-,-,-,-,-,-,2.00,125.71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.04,-0.45,79.2,1772636265,-,-,-,-,-,-,-,34.3984833,-119.8492833,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.07,-0.14,79.2,1772636251,0.77,6.02,4.74,250.601,33.702,247.026,42.969,34.39850,-119.84927,-,-,-,-,-,-,-,-,-,1.60,131.43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.07,-0.14,79.2,1772634451,0.79,5.38,4.62,257.717,26.706,248.883,39.719,34.39850,-119.84927,-,-,-,-,-,-,-,-,-,2.40,131.43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.04,-0.32,80,1772632665,-,-,-,-,-,-,-,34.3985000,-119.8492667,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
