Battery Voltage (V),Power (W),Humidity (%rel),Epoch Time,Significant Wave Height (m),Peak Period (s),Mean Period (s),Peak Direction (deg),Peak Directional Spread (deg),Mean Direction (deg),Mean Directional Spread (deg),Latitude (deg),Longitude (deg),f,df,a1,b1,a2,b2,varianceDensity,direction,directionalSpread,Wind Speed (m/s),Wind Direction (deg),Surface Temperature (°C),Partition0 Start Frequency (hz),Partition0 End Frequency (hz),Partition0 Significant Wave Height (m),Partition0 Mean Period (s),Partition0 Mean Direction (deg),Partition0 Mean Directional Spread (deg),Partition1 Start Frequency (hz),Partition1 End Frequency (hz),Partition1 Significant Wave Height (m),Partition1 Mean Period (s),Partition1 Mean Direction (deg),Partition1 Mean Directional Spread (deg),Mean Barometric Pressure (hPa),Processing Source
4.07,-0.32,78.4,1772780779,0.83,6.4,5.36,254.954,34.291,244.894,45.364,34.39845,-119.84928,-,-,-,-,-,-,-,-,-,2.00,245.71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.07,-0.32,78.4,1772778979,0.93,8.52,5.46,235.281,28.614,246.045,40.615,34.39850,-119.84928,-,-,-,-,-,-,-,-,-,1.20,257.14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.07,-0.67,78.4,1772780792,-,-,-,-,-,-,-,34.3984333,-119.8492667,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.07,-0.32,77.6,1772777193,-,-,-,-,-,-,-,34.3985167,-119.8492667,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.07,-0.44,77.6,1772777179,0.87,6.02,5.32,246.756,34.859,248.711,40.42,34.39852,-119.84928,-,-,-,-,-,-,-,-,-,2.40,251.43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.07,-0.44,77.6,1772775379,0.94,4.86,5.38,256.952,29.666,245.418,38.798,34.39847,-119.84928,-,-,-,-,-,-,-,-,-,2.40,245.71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.07,-0.38,77.6,1772773592,-,-,-,-,-,-,-,34.3984500,-119.8492833,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.07,-0.32,76.8,1772773579,0.91,5.12,5.32,252.987,34.197,243.927,39.458,34.39845,-119.84927,-,-,-,-,-,-,-,-,-,2.40,240.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.07,-0.32,76.8,1772771779,0.97,4.64,5.08,254.421,22.267,245.408,35.065,34.39847,-119.84925,-,-,-,-,-,-,-,-,-,1.60,274.29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,-0.31,76,1772769992,-,-,-,-,-,-,-,34.3984833,-119.8492667,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,-0.36,76,1772769979,0.96,5.12,5.14,250.924,24.001,243.496,34.864,34.39848,-119.84925,-,-,-,-,-,-,-,-,-,2.40,245.71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,-0.36,76,1772768179,0.95,4.86,5.04,255.86,22.867,242.942,35.108,34.39847,-119.84920,-,-,-,-,-,-,-,-,-,2.80,245.71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,-0.35,73.6,1772766392,-,-,-,-,-,-,-,34.3984500,-119.8490833,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,-0.31,73.6,1772766379,0.89,4.86,4.88,254.943,23.185,242.165,37.197,34.39847,-119.84908,-,-,-,-,-,-,-,-,-,3.20,251.43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,-0.31,73.6,1772764579,0.91,5.38,4.72,251.796,22.927,243.866,34.903,34.39863,-119.84883,-,-,-,-,-,-,-,-,-,2.80,228.57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,-0.39,68,1772762793,-,-,-,-,-,-,-,34.3986167,-119.8488833,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,-0.32,67.2,1772762779,0.99,5.12,4.88,255.449,18.242,247.527,31.217,34.39862,-119.84888,-,-,-,-,-,-,-,-,-,2.80,222.86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,-0.32,67.2,1772760979,1,5.68,4.72,252.409,19.096,247.949,33.094,34.39848,-119.84892,-,-,-,-,-,-,-,-,-,4.00,234.29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.13,-0.03,62.4,1772759193,-,-,-,-,-,-,-,34.3983500,-119.8490167,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.13,-0.03,62.4,1772759179,1.12,5.68,4.72,252.127,18.839,246.302,32.504,34.39835,-119.84903,-,-,-,-,-,-,-,-,-,4.80,222.86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.13,-0.03,62.4,1772757379,1.13,5.68,4.58,249.982,17.955,246.17,34.818,34.39852,-119.84908,-,-,-,-,-,-,-,-,-,5.60,228.57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,-0.03,56.8,1772755592,-,-,-,-,-,-,-,34.3985333,-119.8491333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,-0.03,56.8,1772755579,1.16,4.86,4.64,247.175,22.218,244.577,33.074,34.39853,-119.84915,-,-,-,-,-,-,-,-,-,5.60,240.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,-0.03,56.8,1772753779,1.17,5.12,4.66,251.886,20.346,246.268,32.374,34.39855,-119.84920,-,-,-,-,-,-,-,-,-,5.20,234.29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,-0.03,52,1772751993,-,-,-,-,-,-,-,34.3985333,-119.8492500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,-0.03,52,1772751979,1.01,4.64,4.48,249.811,21.587,246.598,33.225,34.39853,-119.84925,-,-,-,-,-,-,-,-,-,4.40,262.86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,-0.03,52,1772750179,0.96,4.64,4.58,255.182,27.266,247.993,35.442,34.39853,-119.84927,-,-,-,-,-,-,-,-,-,4.00,245.71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,-0.03,52,1772748392,-,-,-,-,-,-,-,34.3985333,-119.8492667,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,-0.03,52.8,1772748379,0.98,4.08,4.52,260.23,25.794,250.274,37.836,34.39853,-119.84927,-,-,-,-,-,-,-,-,-,4.00,285.71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,-0.03,52.8,1772746579,1.04,4.64,4.52,263.052,24.977,256.568,37.403,34.39853,-119.84927,-,-,-,-,-,-,-,-,-,4.40,251.43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,-0.03,51.2,1772744793,-,-,-,-,-,-,-,34.3985333,-119.8492833,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,-0.03,51.2,1772744779,1.05,4.86,4.62,259.251,34.105,249.903,39.965,34.39852,-119.84928,-,-,-,-,-,-,-,-,-,4.80,245.71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,-0.03,51.2,1772742979,1.14,5.12,4.7,256.995,32.134,250.512,38.559,34.39847,-119.84930,-,-,-,-,-,-,-,-,-,4.80,245.71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
