Battery Voltage (V),Power (W),Humidity (%rel),Epoch Time,Significant Wave Height (m),Peak Period (s),Mean Period (s),Peak Direction (deg),Peak Directional Spread (deg),Mean Direction (deg),Mean Directional Spread (deg),Latitude (deg),Longitude (deg),f,df,a1,b1,a2,b2,varianceDensity,direction,directionalSpread,Wind Speed (m/s),Wind Direction (deg),Surface Temperature (°C),Partition0 Start Frequency (hz),Partition0 End Frequency (hz),Partition0 Significant Wave Height (m),Partition0 Mean Period (s),Partition0 Mean Direction (deg),Partition0 Mean Directional Spread (deg),Partition1 Start Frequency (hz),Partition1 End Frequency (hz),Partition1 Significant Wave Height (m),Partition1 Mean Period (s),Partition1 Mean Direction (deg),Partition1 Mean Directional Spread (deg),Mean Barometric Pressure (hPa),Processing Source
4.07,-0.34,79.2,1770362624,-,-,-,-,-,-,-,34.3984500,-119.8492000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.07,-0.32,79.2,1770362610,1,12.8,8.32,225.123,14.719,224.72,31.506,34.39847,-119.84918,-,-,-,-,-,-,-,-,-,4.00,114.29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.07,-0.32,79.2,1770360810,0.97,12.8,8.48,224.507,15.167,223.332,30.887,34.39857,-119.84912,-,-,-,-,-,-,-,-,-,4.40,114.29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.07,-0.32,78.4,1770359024,-,-,-,-,-,-,-,34.3985833,-119.8490333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.07,-0.45,78.4,1770359010,1.07,12.8,8.88,223.975,14.991,223.457,28.919,34.39858,-119.84900,-,-,-,-,-,-,-,-,-,5.20,102.86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.07,-0.45,78.4,1770357210,0.93,12.8,8.28,223.561,15.553,222.19,30.296,34.39848,-119.84887,-,-,-,-,-,-,-,-,-,4.80,120.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.07,-0.38,77.6,1770355425,-,-,-,-,-,-,-,34.3985333,-119.8488167,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.07,-0.32,77.6,1770355410,1.03,12.8,8.38,222.25,15.083,221.848,29.506,34.39852,-119.84882,-,-,-,-,-,-,-,-,-,4.80,114.29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.07,-0.32,77.6,1770353610,1.05,12.8,9.16,220.731,10.17,221.628,24.978,34.39852,-119.84875,-,-,-,-,-,-,-,-,-,4.00,114.29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,-0.31,76.8,1770351824,-,-,-,-,-,-,-,34.3985667,-119.8486667,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,-0.36,76.8,1770351810,0.98,12.8,8.78,223.028,15.349,221.813,27.757,34.39857,-119.84867,-,-,-,-,-,-,-,-,-,4.00,114.29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,-0.36,76.8,1770350010,1.06,12.8,8.98,223.577,13.012,223.315,26.452,34.39857,-119.84868,-,-,-,-,-,-,-,-,-,4.40,125.71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,-0.34,74.4,1770348224,-,-,-,-,-,-,-,34.3984667,-119.8486667,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,-0.32,74.4,1770348210,0.94,12.8,9.66,223.368,13.834,223.272,23.35,34.39847,-119.84865,-,-,-,-,-,-,-,-,-,1.60,125.71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,-0.32,74.4,1770346410,1.06,12.8,10.14,220.732,12.751,221.559,21.014,34.39850,-119.84865,-,-,-,-,-,-,-,-,-,1.60,131.43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
